class,idx,top1_acc,top5_acc,samples,top_conf_1,top_conf_1_count,top_confusions
basketball_dribble,36,16.666666666666668,33.333333333333336,6,floss_dance,2,"floss_dance(2), battle-rope_wave(1), ride_bike(1)"
curling_sweep,117,16.666666666666668,66.66666666666667,6,rescue_breathing,2,"rescue_breathing(2), chainsaw_tree(2), volleyball_pass(1)"
gas_pumping_to_car,182,16.666666666666668,66.66666666666667,6,bowing_waist,1,"bowing_waist(1), jack_up_car(1), shaving_beard(1)"
hookah,217,16.666666666666668,66.66666666666667,6,play_clarinet,1,"play_clarinet(1), play_grandpiano(1), eating_ice_cream(1)"
play_leaf-flute,284,16.666666666666668,83.33333333333333,6,play_ piccolo,1,"play_ piccolo(1), play_noseflute(1), whistle_two_hands(1)"
play_tambourine,299,16.666666666666668,83.33333333333333,6,talking_on_phone,1,"talking_on_phone(1), chainsaw_tree(1), blowing_gum(1)"
play_ukulele,305,16.666666666666668,83.33333333333333,6,play_saxophone,2,"play_saxophone(2), spinning_basketball(1), shake_cocktail(1)"
blowdrying_hair,57,33.333333333333336,33.333333333333336,6,play_cornett,1,"play_cornett(1), smoking_exhale(1), play_ otamatone(1)"
bmx_riding,65,33.333333333333336,33.333333333333336,6,skydiving,1,"skydiving(1), baseball_catch_flyball(1), grass_skiing(1)"
cleaning_sweeping,97,33.333333333333336,33.333333333333336,6,walking_with_crutches,1,"walking_with_crutches(1), spraying_wall(1), play_hulahoop(1)"
climb_icecliff,101,33.333333333333336,33.333333333333336,6,trapeze_interacting,1,"trapeze_interacting(1), using_lawn_mower_riding_type(1), walking_with_crutches(1)"
folding_blanket,170,33.333333333333336,33.333333333333336,6,cleaning_mirror,1,"cleaning_mirror(1), archery(1), flamethrower(1)"
hand_in_hand,204,33.333333333333336,33.333333333333336,6,taichi_fan,1,"taichi_fan(1), hold_baby(1), rock_balancing(1)"
kiss,240,33.333333333333336,33.333333333333336,6,spitting_on_face,2,"spitting_on_face(2), play_cymbals(1), milking(1)"
play_melodic,287,33.333333333333336,33.333333333333336,6,play_sheng,2,"play_sheng(2), playing_rubiks_cube(1), chewing_gum(1)"
ski_backflip,375,33.333333333333336,33.333333333333336,6,equestrian_jump,2,"equestrian_jump(2), skydiving(1), climb_icecliff(1)"
snowboard_jump,389,33.333333333333336,33.333333333333336,6,horizontalbar_land,2,"horizontalbar_land(2), skydiving(1), equestrian_jump(1)"
walking_on_stilts,467,33.333333333333336,33.333333333333336,6,ski_jump_land,1,"ski_jump_land(1), segway(1), using_metal_detector(1)"
bike_fall,54,33.333333333333336,50.0,6,blow_gun,1,"blow_gun(1), soccer_save(1), blowing_leaf(1)"
bmx_jumping,64,33.333333333333336,50.0,6,floor_spin,1,"floor_spin(1), jetski(1), backward_roll(1)"
brushing_floor,74,33.333333333333336,50.0,6,using_metal_detector,1,"using_metal_detector(1), ride_scooter(1), using_lawn_mower(1)"
climbing_rock,105,33.333333333333336,50.0,6,grass_skiing,2,"grass_skiing(2), pottery_wheel(1), windsurfing(1)"
closing_door,108,33.333333333333336,50.0,6,dog_walking,1,"dog_walking(1), hand-drill_firemaking_drill_with_bow(1), pancake_flip(1)"
cutting_onion,118,33.333333333333336,50.0,6,play_bangu,1,"play_bangu(1), washing_dishes(1), chopping_meat(1)"
decorating_snowman,121,33.333333333333336,50.0,6,play_gong,1,"play_gong(1), flamethrower(1), ice_scuplting(1)"
dog_walking,131,33.333333333333336,50.0,6,blowing_leaf,1,"blowing_leaf(1), runway_walk(1), roller-skating_backward(1)"
drinking_with_cup,133,33.333333333333336,50.0,6,play_recorder,1,"play_recorder(1), eat_burger(1), brushing_teeth(1)"
fire_breathing,158,33.333333333333336,50.0,6,play_gong,1,"play_gong(1), push_wheelchair(1), luge(1)"
fire_extinguisher,160,33.333333333333336,50.0,6,handshake_dog,1,"handshake_dog(1), chainsaw_tree(1), luge(1)"
flying_kite,169,33.333333333333336,50.0,6,play_gong,1,"play_gong(1), slingshot(1), water_skiing(1)"
ironing_clothes,229,33.333333333333336,50.0,6,chopping_meat,1,"chopping_meat(1), sprint_kneel(1), hand-drill_firemaking_drill_with_bow(1)"
paragliding,254,33.333333333333336,50.0,6,play_cello,1,"play_cello(1), blow_gun(1), snowboard_slide(1)"
peeling_banana,255,33.333333333333336,50.0,6,knitting,1,"knitting(1), play_suona(1), basketball_pass(1)"
playing_snare_drum,317,33.333333333333336,50.0,6,walking_on_stilts,1,"walking_on_stilts(1), play_sitar(1), hammering_nail(1)"
riding_elephant,343,33.333333333333336,50.0,6,blow_gun,1,"blow_gun(1), curling_sweep(1), ski_frontflip(1)"
rock_paper_scissors,346,33.333333333333336,50.0,6,badminton_serve,1,"badminton_serve(1), watering_plants(1), basketball_shoot(1)"
sandboarding_forward,356,33.333333333333336,50.0,6,skydiving,1,"skydiving(1), walking_with_crutches(1), volleyball_underhand(1)"
shoe_shining,363,33.333333333333336,50.0,6,washing_clothes,1,"washing_clothes(1), spitting_on_face(1), add_new_car_tire(1)"
sprint_run,406,33.333333333333336,50.0,6,skydiving,1,"skydiving(1), ski_jump_slide(1), tire_sled(1)"
swimming_butterfly_stroke,417,33.333333333333336,50.0,6,skydiving,1,"skydiving(1), luge(1), swimming_freestyle(1)"
three_legged_race,435,33.333333333333336,50.0,6,walking_on_stilts,1,"walking_on_stilts(1), badminton_serve(1), cross_country_ski_slide(1)"
using_spinning_wheel,460,33.333333333333336,50.0,6,play_grandpiano,1,"play_grandpiano(1), crawling(1), playing_rubiks_cube(1)"
washing_clothes,472,33.333333333333336,50.0,6,shoe_shining,1,"shoe_shining(1), dj(1), washing_dishes(1)"
yawning,487,33.333333333333336,50.0,6,blowing_gum,1,"blowing_gum(1), kiss(1), hanging_clothes(1)"
air_drumming,5,33.333333333333336,66.66666666666667,6,play_thereminvox,1,"play_thereminvox(1), speed_stack(1), play_yangqin(1)"
air_guitar,6,33.333333333333336,66.66666666666667,6,hailing_taxi,1,"hailing_taxi(1), basketball_pass(1), taekwondo_middle_block(1)"
air_hocky,7,33.333333333333336,66.66666666666667,6,washing_dishes,1,"washing_dishes(1), play_xylophone(1), playing_taiko_drum(1)"
bandaging,27,33.333333333333336,66.66666666666667,6,watering_plants,1,"watering_plants(1), pancake_flip(1), play_sitar(1)"
chalkboard,91,33.333333333333336,66.66666666666667,6,brushing_floor,1,"brushing_floor(1), hailing_taxi(1), wall_paint_brush(1)"
cleaning_mirror,95,33.333333333333336,66.66666666666667,6,wall_paint_brush,1,"wall_paint_brush(1), spitting_on_face(1), hailing_taxi(1)"
crossbow_shoot,114,33.333333333333336,66.66666666666667,6,fire_extinguisher,1,"fire_extinguisher(1), play_diabolo(1), shooting_handgun(1)"
curling_follow,115,33.333333333333336,66.66666666666667,6,blowing_leaf,1,"blowing_leaf(1), hopscotch_skip(1), decorating_snowman(1)"
drinking_with_straw,134,33.333333333333336,66.66666666666667,6,play_hulusi,1,"play_hulusi(1), rescue_breathing(1), playing_rubiks_cube(1)"
folding_clothes,171,33.333333333333336,66.66666666666667,6,shoe_shining,1,"shoe_shining(1), air_hocky(1), play_bagpipes(1)"
hammering_nail,200,33.333333333333336,66.66666666666667,6,flying_kite,1,"flying_kite(1), building_snowman(1), wall_paint_brush(1)"
play_harp,279,33.333333333333336,66.66666666666667,6,using_typewriter,1,"using_typewriter(1), fire_extinguisher(1), bandaging(1)"
play_trumpet,304,33.333333333333336,66.66666666666667,6,play_suona,1,"play_suona(1), blowing_gum(1), taking_photo_camera(1)"
play_violin,307,33.333333333333336,66.66666666666667,6,play_trombone,1,"play_trombone(1), play_gong(1), play_erhu(1)"
